Title|Year|Plot
#7DaysLater|2013|#7dayslater is an interactive comedy series featuring an ensemble cast of YouTube celebrities. Each week the audience writes the brief via social media for an all-new episode featuring a well-known guest-star. Seven days later that week's episode premieres on TV and across multiple platforms. 
#BlackLove|2015|This week, the five women work on getting what they want in a relationship by being more open and learning to communicate properly. Cynthia, after dealing with a heartbreaking separation, goes on her first date in several years, with disastrous results. Jahmil meets a cute and confident girl and they decide to go on a date, but when the conversation turns to her past, is she pushed too far out of her comfort zone? Tennesha tries to take a step back from her control issues and lets Errol take the lead on a date, while Laree is challenged to break down some of her walls and commit herself to Karl. 
#Cake|2015|#CAKE is a hour-long serial narrative comedy about a manhunt for a high priced assassin who murders for digital currency (Bitcoin) , the detectives who track him, and a enthused entrepreneur who runs a bitcoin mining operation. In a perfect world do you want money or power? You want the power to create your own money. 
#CandidlyNicole|2013|Nicole has great memories of seeing Siegfried and Roy as a kid and dreams of having her own show in Las Vegas one day. She heads to the famous Magicopolis in Hollywood, where she becomes a magician's assistant and tries her best not to steal the show. 
#DaddyLeaks|????|The life of four close friends in their late thirties is about to change forever thanks to a data breach that releases the names of donors to a sperm bank with fraudulent business practices. They hardly even remember donating their sperm twenty-three years prior when they were just teenagers in need of some easy money. Throughout the series, the imminent arrival of the children they may have fathered dramatically alters their lives, but never their friendships. 
#DearGeorgette|2015|Call me crazy, call me brave, call me neither but a couple of months ago I decided to come face to face with being vulnerable, expressing how I previously felt for a friend. I also wanted to hear a male's perspective on being vulnerable and what that looked like. My feelings for this guy don't exist anymore but when they did, I had blog post links that told many o' stories. I'll just let you see how this pans out. This is a three-part episode. You can read the posts I wrote about on my blog the writings of an imperfectionist dot tumblr dot com. 
#Elmira|2014|#Elmira follows the story of a bunch of strangers who all respond to the same CraigsList ad "Looking for roommates to share rent." Upon their arrival, the apartment is a lot smaller than anticipated, and so the flat is overpopulated. The fictional apartment building, "The Elmira," located on the fictional street, "Elmira," resides in the City of Elmira. The apartment is rented to the gang by a campy, gay, married couple, who always seem to show up unannounced at the most inopportune times. To make matters worse the apartment sits above a noisy bar. A drag bar called "Drag-Hag," which is the center of confusion to some of the characters. 
#Fuga|2016|Months after an apocalyptic event, a group of survivors find themselves in what it seams to be a safe place in Rio de Janeiro's country side. Having just met each other, they share their stories among all the death, chaos and destruction that surrounds them . 
#GameOn|2014|#GameOn is a cybersafety video following the online experiences of a group of lower secondary students who find themselves in situations that catch them off-guard and teach them the consequences of making poor decisions online. Topics include cyberbullying, excessive gaming, sharing passwords, free downloads and online friends. 
#Hashtag: The Series|2013|Friend Me. Follow Me. Like Me. Fall for Me. #Hashtag follows the love lives of two technology-obsessed best friends in Chicago. From Instagram seduction to inappropriate selfies, Twitter over sharing to OKCupid dating, Liv and Skylar are about to learn the real-life consequences of over-indulgence in the virtual world. 
